수행부서명,프로젝트명,시작일,종료일,포트폴리오,수주계약금액,수주부서명,고객명
전략운영혁신팀,kt m&s 2021년 ITO,2021.03.01,2022.02.28,ITO,"2,343,100,000",그룹영업팀,(주)케이티엠앤에스
전략운영혁신팀,kth 2021년 경영정보시스템 운영/유지보수(ITO),2021.04.01,2022.03.31,ITO,"766,800,000",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,2021년 kt commerce 통합 ITO,2021.05.01,2022.04.30,ITO,"1,213,700,000",그룹영업팀,주식회사 케이티커머스
전략운영혁신팀,kt sat 2020년 IT인프라 통합 ITO용역_2년차,2021.07.01,2022.08.31,ITO,"417,898,180",그룹영업팀,주식회사 케이티샛
전략운영혁신팀,kt estate 통합관제플랫폼 유지보수 (2021년도),2021.09.01,2022.08.31,ITO,"141,200,000",그룹영업팀,(주)케이티에스테이트
전략운영혁신팀,kt alpha K쇼핑 차세대시스템 소프트웨어(S/W) 유지보수,2022.01.01,2022.12.31,ITO,"76,525,350",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,kt alpha 22년 기프티쇼 MBS 시스템 Xplatform 유지보수,2022.01.01,2022.12.31,ITO,"7,440,000",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,kt alpha MAS ITO (2022년),2022.01.01,2023.01.31,ITO,"141,590,000",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,2022년 kt linkus ITO,2022.01.01,2022.12.31,ITO,"474,470,000",그룹영업팀,주식회사 케이티링커스
전략운영혁신팀,kt M mobile 2022년도 MVNO 고도화 개발,2022.01.01,2022.12.31,ITO,"2,170,000,000",그룹영업팀,주식회사 케이티엠모바일
전략운영혁신팀,kt alpha MBS ITO (2022년),2022.01.01,2022.12.31,ITO,"543,000,000",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,kt alpha 리플시스템 ITO,2022.01.01,2022.10.31,ITO,"927,000,000",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,kt cs 2022년 사내전산시스템 위탁 운영,2022.01.01,2022.12.31,ITO,"600,000,000",그룹영업팀,(주)케이티씨에스
전략운영혁신팀,KT 의료정보서비스 개발 및 유지보수(2022),2022.01.01,2023.01.20,ITO,"400,862,767",전략운영혁신팀,주식회사 케이티
전략운영혁신팀,kt alpha 2022년 K쇼핑 커머스시스템 운영 및 유지보수,2022.02.01,2023.01.31,ITO,"999,693,000",그룹영업팀,주식회사 케이티알파
전략운영혁신팀,kt skylife 2022년도 통합 ITO,2022.01.01,2022.12.31,ITO,"2,814,000,000",그룹영업팀,주식회사 케이티스카이라이프
전략운영혁신팀,"kt m&s 2022년 ITO AO,IO",2022.03.01,2023.02.28,ITO,"2,444,500,000",그룹영업팀,(주)케이티엠앤에스
전략운영혁신팀,kt sat NAS 시스템 도입 용역,2022.05.02,2022.06.18,IT 자산공급,"26,000,000",그룹영업팀,주식회사 케이티샛
전략운영혁신팀,kt estate 호텔 멤버십 시스템 유지보수,2022.07.16,2023.02.28,ITO,"82,000,000",그룹영업팀,(주)케이티에스테이트
전략운영혁신팀,kt sat 2022년 IT인프라 통합 ITO 용역_3년차,2022.09.01,2023.12.31,ITO,"773,300,000",그룹영업팀,주식회사 케이티샛
전략운영혁신팀,kt estate 스마트통합관제플랫폼 유지보수 (2022년도),2022.10.01,2023.09.30,ITO,"147,600,000",그룹영업팀,(주)케이티에스테이트
전략운영혁신팀,kt linkus 교통카드 서버 대개체,2022.11.01,2023.02.28,IT 자산공급,"44,600,000",그룹영업팀,주식회사 케이티링커스
전략운영혁신팀,kt cs 링크에듀 JENIFFER 라이선스 공급,2022.11.30,2022.12.23,IT 자산공급,"10,020,000",그룹영업팀,(주)케이티씨에스
전략운영혁신팀,kt linkus 개인정보보호솔루션 대개체,2022.12.05,2023.02.04,IT 자산공급,"29,946,000",그룹영업팀,주식회사 케이티링커스
전략운영혁신팀,kt m&s 2022년도 DLP서버 교체,2022.12.19,2022.12.31,SI,"5,433,000",그룹영업팀,(주)케이티엠앤에스
전략운영혁신팀,kt service 남부 그룹웨어 재구축,2022.12.29,2023.05.10,SI,"750,000,000",그룹영업팀,주식회사 케이티서비스남부
전략운영혁신팀,kt alpha MBS MAS ITO (2022년),2022.01.01,2022.12.31,ITO,"350,000,000",그룹영업팀,주식회사 케이티알파
텔레캅운영혁신TF,kt telecop 금융권 경해제 App 추가 기능 개발,2021.10.01,2022.01.31,SI,"150,000,000",그룹영업팀,주식회사 케이티텔레캅
